生產日期,機台號,班別,產能,OEE,良率
2022/9/1,h04,D,1277,51.2,87
2022/9/1,h04,D,1277,51.2,87
2022/9/1,h04,N,2195,88,94.1
2022/9/1,h04,N,2195,88,94.1
2022/9/1,h05,D,577,23.1,94.3
2022/9/1,h05,D,577,23.1,94.3
2022/9/1,h05,N,1097,44,98.3
2022/9/1,h05,N,1097,44,98.3
2022/9/1,h06,D,2038,82.7,92.8
2022/9/1,h06,D,2038,82.7,92.8
2022/9/1,h06,N,0,0,0
2022/9/1,h06,N,0,0,0
2022/9/1,h09,D,1535,61.6,90.7
2022/9/1,h09,D,1535,61.6,90.7
2022/9/1,h09,N,1868,74.9,90.8
2022/9/1,h09,N,1868,74.9,90.8
2022/9/1,h11,D,2433,97.6,97.8
2022/9/1,h11,D,2433,97.6,97.8
2022/9/1,h11,N,2315,92.8,96.3
2022/9/1,h11,N,2315,92.8,96.3
2022/9/1,h12,D,1583,63.5,89.4
2022/9/1,h12,D,1583,63.5,89.4
2022/9/1,h12,N,1708,68.5,97.2
2022/9/1,h12,N,1708,68.5,97.2
2022/9/1,h13,D,610,24.5,96.4
2022/9/1,h13,D,610,24.5,96.4
2022/9/1,h13,N,2502,100.3,97.4
2022/9/1,h13,N,2502,100.3,97.4
2022/9/1,h14,D,2291,91.9,94
2022/9/1,h14,D,2291,91.9,94
2022/9/1,h14,N,2484,99.6,97
2022/9/1,h14,N,2484,99.6,97
2022/9/1,h16,D,2360,94.6,94.4
2022/9/1,h16,D,2360,94.6,94.4
2022/9/1,h16,N,2432,97.5,94.3
2022/9/1,h16,N,2432,97.5,94.3
2022/9/2,h04,D,2468,99,97.9
2022/9/2,h04,D,2468,99,97.9
2022/9/2,h04,N,0,0,0
2022/9/2,h04,N,0,0,0
2022/9/2,h05,D,2480,99.5,97.8
2022/9/2,h05,D,2480,99.5,97.8
2022/9/2,h05,N,0,0,0
2022/9/2,h05,N,0,0,0
2022/9/2,h06,D,1754,71.2,88.5
2022/9/2,h06,D,1754,71.2,88.5
2022/9/2,h06,N,0,0,0
2022/9/2,h06,N,0,0,0
2022/9/2,h09,D,2329,93.4,90.3
2022/9/2,h09,D,2329,93.4,90.3
2022/9/2,h09,N,0,0,0
2022/9/2,h09,N,0,0,0
2022/9/2,h11,D,2378,95.4,93.2
2022/9/2,h11,D,2378,95.4,93.2
2022/9/2,h11,N,0,0,0
2022/9/2,h11,N,0,0,0
2022/9/2,h12,D,2560,102.7,96.9
2022/9/2,h12,D,2560,102.7,96.9
2022/9/2,h12,N,0,0,0
2022/9/2,h12,N,0,0,0
2022/9/2,h13,D,2613,104.8,97.1
2022/9/2,h13,D,2613,104.8,97.1
2022/9/2,h13,N,0,0,0
2022/9/2,h13,N,0,0,0
2022/9/2,h14,D,2503,100.4,95.3
2022/9/2,h14,D,2503,100.4,95.3
2022/9/2,h14,N,2456,98.5,94.5
2022/9/2,h14,N,2456,98.5,94.5
2022/9/2,h16,D,2544,102,96.1
2022/9/2,h16,D,2544,102,96.1
2022/9/2,h16,N,0,0,0
2022/9/2,h16,N,0,0,0
2022/9/3,h04,D,2039,81.8,94.9
2022/9/3,h04,D,2039,81.8,94.9
2022/9/3,h04,N,0,0,0
2022/9/3,h04,N,0,0,0
2022/9/3,h05,D,2285,91.6,94.4
2022/9/3,h05,D,2285,91.6,94.4
2022/9/3,h05,N,0,0,0
2022/9/3,h05,N,0,0,0
2022/9/3,h06,D,1991,80.8,92
2022/9/3,h06,D,1991,80.8,92
2022/9/3,h06,N,0,0,0
2022/9/3,h06,N,0,0,0
2022/9/3,h09,D,1694,67.9,90.3
2022/9/3,h09,D,1694,67.9,90.3
2022/9/3,h09,N,0,0,0
2022/9/3,h09,N,0,0,0
2022/9/3,h11,D,1461,58.6,89.8
2022/9/3,h11,D,1461,58.6,89.8
2022/9/3,h11,N,0,0,0
2022/9/3,h11,N,0,0,0
2022/9/3,h12,D,2109,84.6,95
2022/9/3,h12,D,2109,84.6,95
2022/9/3,h12,N,0,0,0
2022/9/3,h12,N,0,0,0
2022/9/3,h13,D,1967,78.9,95.7
2022/9/3,h13,D,1967,78.9,95.7
2022/9/3,h13,N,0,0,0
2022/9/3,h13,N,0,0,0
2022/9/3,h14,D,2283,91.6,96.2
2022/9/3,h14,D,2283,91.6,96.2
2022/9/3,h14,N,0,0,0
2022/9/3,h14,N,0,0,0
2022/9/3,h16,D,2050,82.2,94.6
2022/9/3,h16,D,2050,82.2,94.6
2022/9/3,h16,N,55,2.2,84.6
2022/9/3,h16,N,55,2.2,84.6
2022/9/4,h04,D,0,0,0
2022/9/4,h04,D,0,0,0
2022/9/4,h04,N,0,0,0
2022/9/4,h04,N,0,0,0
2022/9/4,h05,D,0,0,0
2022/9/4,h05,D,0,0,0
2022/9/4,h05,N,0,0,0
2022/9/4,h05,N,0,0,0
2022/9/4,h06,D,0,0,0
2022/9/4,h06,D,0,0,0
2022/9/4,h06,N,0,0,0
2022/9/4,h06,N,0,0,0
2022/9/4,h09,D,0,0,0
2022/9/4,h09,D,0,0,0
2022/9/4,h09,N,1911,76.6,88.8
2022/9/4,h09,N,1911,76.6,88.8
2022/9/4,h11,D,0,0,0
2022/9/4,h11,D,0,0,0
2022/9/4,h11,N,2178,87.3,87.3
2022/9/4,h11,N,2178,87.3,87.3
2022/9/4,h12,D,0,0,0
2022/9/4,h12,D,0,0,0
